GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
course-service,com.javatechie.service,CourseService,0,26,0,0,0,6,0,4,0,4
course-service,com.javatechie.controller,CourseController,0,25,0,0,0,6,0,4,0,4
